cnt_presa,PK_IdPresaSIH,clave,NombrePresa,nombrecomun,Estado,Abr_Edo,Municipio,regioncna,Longitud,Latitud,uso,corriente,tipovertedor,inicioop,alturacortina,elevcorona,bordolibre,nameelev,namealmac,namoelev,CapacidadNAMO,llenano,elevacionactual,namoalmac,datee,fecha,fechaWF,anio,mes,dia,dailyvalue,diferencia,imagen
1,22,CNTCL,"El Centenario, Coah.","El Centenario, Coah.",Coahuila,Coah.     ,Jiménez,Río Bravo,-100.95,29.213611,RI,R. San Diego,Libre,1935,CONAGUA,338,1.620,336.380,25.711,336.150,24.589,0.96657039007524,335.980,24.589,2019-06-30 00:00:00.000,30/06/2019,2019/06/30,2019,6,30,23.767,.822,CNTCL.jpg
1,147,CNTQT,"El Centenario, Qro.","El Centenario, Qro.",Querétaro,Qro.      ,Tequisquiapan,Golfo Norte,-99.897778,20.513333,RI,R. San Juan,Mixto,1910,CONAGUA,1898,.510,1882.500,14.178,1881.550,9.781,0.329516409365096,1879.140,9.781,2019-06-30 00:00:00.000,30/06/2019,2019/06/30,2019,6,30,3.223,6.558,CNTQT.jpg
1,97,COIMC,"Coíntzio, Mich.","Cointzio, Mich.",Michoacán,Mich.     ,Morelia,Lerma Santiago Pacífico,-101.259167,19.629722,AP/RI,R. Grande de Morelia,Contr,1939,CONAGUA,1997,1.500,2001.320,79.233,1995.970,50.840,0.692191188040913,1992.260,50.840,2019-06-30 00:00:00.000,30/06/2019,2019/06/30,2019,6,30,35.191,15.649,COIMC.jpg
1,98,CPAMC,"Copándaro, Mich.","Copándaro de Dolores, Mich.",Michoacán,Mich.     ,Jiquilpan,Lerma Santiago Pacífico,-102.861389,20.001667,RI,R. La Patera,Libre,1927,CONAGUA,1999,9.790,1989.209,9.717,1987.659,2.752,0.17296511627907,1986.350,2.752,2019-06-30 00:00:00.000,30/06/2019,2019/06/30,2019,6,30,.476,2.276,CPAMC.jpg
1,70,CPEJL,"Cajón de Peña, Jal.","Tomatlán, Jal.",Jalisco,Jal.      ,Tomatlán,Lerma Santiago Pacífico,-105.129722,19.9975,RI,R. Tomatlán,Contr,1976,CONAGUA,142,2.800,139.200,707.620,129.370,442.760,0.506642424789954,118.810,442.760,2019-06-30 00:00:00.000,30/06/2019,2019/06/30,2019,6,30,224.321,218.439,CPEJL.jpg
1,132,CPRNL,"José López Portillo, N.L.","Cerro Prieto, N.L.",Nuevo León,N.L.      ,Linares,Río Bravo,-99.399722,24.9375,AP,A. Pablillo - Hualauises,Contr,1984,CONAGUA,288,2.500,285.500,393.000,282.520,300.000,0.452223333333333,275.120,300.000,2019-06-30 00:00:00.000,30/06/2019,2019/06/30,2019,6,30,135.667,164.333,CPRNL.jpg
1,10,CRRBN,"El Carrizo, B.C.","El Carrizo, B.C.",Baja California,B.C.      ,Tijuana,Península de Baja California,-116.696944,32.479444,AP,A. Carrizo,Libre,1978,CONAGUA,288.34,2.120,286.220,44.585,284.700,40.866,0.65753925653451,278.200,40.866,2019-06-30 00:00:00.000,30/06/2019,2019/06/30,2019,6,30,26.871,13.995,CRRBN.jpg
1,71,CRTJL,"El Cuarenta, Jal.","El Cuarenta, Jal.",Jalisco,Jal.      ,Lagos de Moreno,Lerma Santiago Pacífico,-101.7375,21.497778,RI,A. Azul,Libre,1949,CONAGUA,2004,2.050,2001.950,38.960,1998.750,30.625,0.645126530612245,1994.170,30.625,2019-06-30 00:00:00.000,30/06/2019,2019/06/30,2019,6,30,19.757,10.868,CRTJL.jpg
1,72,CUQJL,"Cuquío, Jal.","Los Gigantes, Jal.",Jalisco,Jal.      ,Cuquío,Lerma Santiago Pacífico,-103.039444,20.948056,RI,A. Achichilco,Libre,1967,CONAGUA,1808.5,1.920,1806.580,8.850,1805.500,7.500,0.576666666666667,1802.700,7.500,2019-06-30 00:00:00.000,30/06/2019,2019/06/30,2019,6,30,4.325,3.175,CUQJL.jpg
1,99,DBOMC,"El Bosque, Mich.","El Bosque, Mich.",Michoacán,Mich.     ,Zitácuaro,Balsas,-100.421111,19.387778,AP,R. San Juan,Libre,1954,CONAGUA,1745,2.000,1743.000,250.500,1741.400,202.515,0.464933461718885,1729.720,202.515,2019-06-30 00:00:00.000,30/06/2019,2019/06/30,2019,6,30,94.156,108.359,DBOMC.jpg
